FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value
2021-06-02,2021-06-01,RAPT,"Rapt Therapeutics, Inc.",Ho William,Chief Medical Officer,S - Sale,19.5,-1000.0,62529.0,-2.0,-19500.0
2021-06-02,2021-05-28,RPTX,Repare Therapeutics Inc.,Gadicke Ansbert,10%,S - Sale,32.47,-38098.0,4202574.0,-1.0,-1237042.0
2021-06-02,2021-05-28,CZWI,Citizens Community Bancorp Inc.,Bianchi Stephen M,"CEO, Pres",P - Purchase,13.57,1100.0,94648.0,1.0,14932.0
2021-06-02,2021-06-01,SAIL,"Sailpoint Technologies Holdings, Inc.",Ream Jason,CFO,S - Sale+OE,44.87,-15000.0,109055.0,-12.0,-673025.0
2021-06-02,2021-05-28,RPTX,Repare Therapeutics Inc.,Foley Todd,Dir,S - Sale,32.47,-16786.0,2383672.0,-1.0,-545041.0
2021-06-02,2021-06-01,ADTX,"Aditx Therapeutics, Inc.",Runge Jeffrey W.,Dir,P - Purchase,2.93,10000.0,12500.0,400.0,29344.0
2021-06-02,2021-05-28,URBN,Urban Outfitters Inc,Morgenfeld Todd R,Dir,S - Sale+OE,39.35,-5000.0,0.0,-100.0,-196756.0
2021-06-02,2021-05-28,URBN,Urban Outfitters Inc,Singh Cassidy Sukhinder,Dir,S - Sale+OE,39.03,-30000.0,0.0,-100.0,-1170965.0
2021-06-02,2021-05-28,GRTX,"Galera Therapeutics, Inc.",West Linda,Dir,P - Purchase,8.64,20000.0,20000.0,0.0,172791.0
2021-06-02,2021-06-02,SAIL,"Sailpoint Technologies Holdings, Inc.",Melin Heidi M,Dir,S - Sale,45.97,-3000.0,15314.0,-16.0,-137910.0
2021-06-02,2021-06-01,ROOT,"Root, Inc.",Manges Daniel,"CTO, 10%",S - Sale+OE,8.8,-150000.0,287424.0,-34.0,-1320000.0
2021-06-02,2021-05-28,LEU,Centrus Energy Corp,Poneman Daniel B,"Pres, CEO",S - Sale+OE,22.56,-12000.0,63434.0,-16.0,-270744.0
2021-06-02,2021-06-01,SAIL,"Sailpoint Technologies Holdings, Inc.",Mills Matt,"Pres, Worldwide Field Ops",S - Sale,45.56,-1769.0,126372.0,-1.0,-80591.0
2021-06-02,2021-06-01,BATL,Battalion Oil Corp,Germann Scott,Dir,S - Sale,13.11,-553.0,4239.0,-12.0,-7250.0
2021-06-02,2021-06-01,VIR,"Vir Biotechnology, Inc.",Virgin Herbert,"EVP, Research, CSO",S - Sale+OE,42.51,-1375.0,91700.0,-1.0,-58451.0
2021-06-02,2021-06-01,SCOR,"Comscore, Inc.",Gotlieb Irwin,Dir,P - Purchase,3.97,100000.0,186956.0,115.0,397454.0
2021-06-02,2021-05-28,THC,Tenet Healthcare Corp,Hacker Howard,"EVP, Chief Compliance Officer",S - Sale,66.7,-6382.0,0.0,-100.0,-425679.0
2021-06-02,2021-06-01,SI,Silvergate Capital Corp,Brassfield Karen F.,Dir,S - Sale+OE,117.3,-4000.0,16298.0,-20.0,-469200.0
2021-06-02,2021-06-01,NVDA,Nvidia Corp,Dabiri John,Dir,S - Sale,651.15,-103.0,965.0,-10.0,-67069.0
2021-06-02,2021-05-28,PMVP,"Pmv Pharmaceuticals, Inc.",Schroeder Thilo,Dir,S - Sale,35.8,-5100.0,2038529.0,0.0,-182580.0
2021-06-02,2021-06-01,OM,"Outset Medical, Inc.",Grossman D Keith,Dir,S - Sale+OE,47.92,-1296.0,11604.0,-10.0,-62102.0
2021-06-02,2021-06-01,CRM,"Salesforce.Com, Inc.",Harris Parker,"Co-Founder, CTO",S - Sale+OE,236.12,-5300.0,1972582.0,0.0,-1251443.0
2021-06-02,2021-06-02,GOOG,Alphabet Inc.,Pichai Sundar,CEO,S - Sale+OE,2429.38,-3000.0,162938.0,-2.0,-7288147.0
2021-06-02,2021-05-28,ALLE,Allegion Plc,Eckersley Timothy P,SVP-Allegion International,S - Sale+OE,140.99,-3496.0,34039.0,-9.0,-492901.0
2021-06-02,2021-05-28,RILY,"B. Riley Financial, Inc.",Weitzman Howard,"SVP, Chief Accounting Officer",S - Sale,73.95,-15503.0,39141.0,-28.0,-1146501.0
2021-06-02,2021-05-28,QSR,Restaurant Brands International Inc.,Schwan Axel Mr,"Pres, Tim Hortons Americas",S - Sale+OE,69.73,-25931.0,114792.0,-18.0,-1808169.0
2021-06-02,2021-06-02,AVA,Avista Corp,Morris Scott L,Chairman of the Board,S - Sale,45.11,-10000.0,136675.0,-7.0,-451100.0
2021-06-02,2021-05-25,ALLE,Allegion Plc,Eckersley Timothy P,SVP-Allegion International,S - Sale+OE,139.81,-5392.0,34039.0,-14.0,-753878.0
2021-06-02,2021-06-01,MDT,Medtronic Plc,Wall Brett A.,"EVP, Pres Neuroscience",S - Sale+OE,128.07,-2473.0,21487.0,-10.0,-316717.0
2021-06-02,2021-06-01,PING,Ping Identity Holding Corp.,Romer Lauren Adrienne,GC,S - Sale+OE,24.25,-1000.0,133332.0,-1.0,-24250.0
2021-06-02,2021-06-02,HL,Hecla Mining Co/de/,Crumley Theodore,Dir,S - Sale,9.34,-50000.0,76536.0,-40.0,-467075.0
2021-06-02,2021-05-28,TMBR,"Timber Pharmaceuticals, Inc.",Tardimed Sciences LLC,10%,S - Sale,1.27,-66285.0,5371232.0,-1.0,-84019.0
2021-06-02,2021-06-01,TYME,"Tyme Technologies, Inc.",Demurjian Michael,10%,S - Sale,1.58,-20000.0,24558546.0,0.0,-31600.0
2021-06-02,2021-06-01,CRM,"Salesforce.Com, Inc.",Weaver Amy E,"Pres, CFO",S - Sale+OE,238.0,-7535.0,30604.0,-20.0,-1793330.0
2021-06-02,2021-05-28,THRY,"Thryv Holdings, Inc.",Goldentree Asset Management LP,10%,S - Sale,22.8,-1029522.0,3457124.0,-23.0,-23473102.0
2021-06-02,2021-06-01,NUS,"Nu Skin Enterprises, Inc.",Dorny D Matthew,GC,S - Sale+OE,60.78,-6200.0,47159.0,-12.0,-376836.0
2021-06-02,2021-05-28,JYNT,Joint Corp,Bandera Partners LLC,See Footnote 1,S - Sale,71.64,-369313.0,1312999.0,-22.0,-26459041.0
2021-06-02,2021-06-01,INSW,"International Seaways, Inc.",Pribor Jeffrey,"SVP,CFO, Treasurer",S - Sale,20.25,-1000.0,47164.0,-2.0,-20249.0
2021-06-02,2021-06-01,RGCO,Rgc Resources Inc,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,23.03,9.0,4270.0,0.0,200.0
2021-06-02,2021-06-01,OM,"Outset Medical, Inc.",Vazquez Martin,COO,S - Sale+OE,47.91,-5000.0,9255.0,-35.0,-239529.0
2021-06-02,2021-05-28,BBY,Best Buy Co Inc,Mohan Rajendra M,"Pres, COO",S - Sale+OE,115.71,-90335.0,79385.0,-53.0,-10452888.0
2021-06-02,2021-05-28,GNLN,"Greenlane Holdings, Inc.",Schoenfeld Adam,"Chief Strategy Officer, 10%",S - Sale,3.9,-35000.0,140401.0,-20.0,-136500.0
2021-06-02,2021-06-01,THG,"Hanover Insurance Group, Inc.",Salvatore Bryan J,EVP,S - Sale+OE,139.7,-5591.0,13864.0,-29.0,-781069.0
2021-06-02,2021-05-28,MXL,Maxlinear Inc,Seendripu Kishore,"COB, Pres, CEO, 10%",S - Sale+OE,38.28,-26121.0,3895004.0,-1.0,-1000019.0
2021-06-02,2021-06-02,EQIX,Equinix Inc,Baack Sara,Chief Product Officer,S - Sale,750.0,-250.0,13517.0,-2.0,-187500.0
2021-06-02,2021-06-01,PRPO,"Precipio, Inc.",Sabet Ahmed Zaki,COO,P - Purchase,3.37,151.0,4879.0,3.0,509.0
